Avg time (h),Avg - GntR - gluconate,Avg - GntR + gluconate,Avg + GntR + gluconate,Avg + GntR - gluconate,STD - GntR - gluconate,STD - GntR + gluconate,STD + GntR + gluconate,STD + GntR - gluconate
8.76672778,12.6326,11.2492,1.0772,0.6531,0.0756349,3.06918464,0.05841801,0.21516139
8.86672778,12.9008,11.3695,1.0700,0.6634,0.06070696,3.09207414,0.050755,0.22869605
8.96672778,13.0668,11.5700,1.0867,0.6654,0.02687029,3.14880032,0.06150312,0.21526091
9.06672778,13.2765,11.7164,1.0888,0.6705,0.00696637,3.228416,0.05234731,0.21227532
9.16672778,13.4940,11.8487,1.0957,0.6780,0.00398078,3.18064659,0.06618054,0.21635562
9.26672778,13.6910,12.0092,1.1097,0.6855,0.00597118,3.25230071,0.04239535,0.20919021
9.36672778,13.8937,12.2118,1.1120,0.7037,0.00995196,3.26424306,0.05503434,0.22242632
9.46672778,14.0204,12.3244,1.1241,0.7049,0.06966372,3.38366659,0.04189775,0.22153064
9.56672778,14.2455,12.5503,1.1235,0.7226,0.02985588,3.40257531,0.04866509,0.21356907
9.66672778,14.4074,12.7016,1.1432,0.7281,0.07961568,3.36774345,0.05065548,0.20491087
9.76672778,14.6396,12.8585,1.1534,0.7377,0.00995196,3.36475786,0.03234387,0.21137964
9.86672778,14.8437,12.9958,1.1547,0.7505,0.07961568,3.38963777,0.04239535,0.22909413
9.96672778,14.9915,13.1541,1.1699,0.7500,0.02985588,3.42446963,0.04279343,0.22541191
10.0667278,15.2167,13.2625,1.1812,0.7666,0.08956765,3.45034472,0.050755,0.22799942
10.1667278,15.3996,13.4757,1.1903,0.7730,0.00995196,3.52697482,0.04378863,0.22660614
10.2667278,15.5544,13.6129,1.1974,0.7753,0.10947157,3.5319508,0.04776941,0.24800286
10.3667278,15.7937,13.7888,1.2142,0.7846,0.0497598,3.54190276,0.03582706,0.22680518
10.4667278,15.9907,13.9401,1.2185,0.7924,0.08956765,3.62649443,0.03781745,0.2319802
10.5667278,16.1456,14.1055,1.2452,0.7996,0.10947157,3.57175864,0.03781745,0.22710374
10.6667278,16.3356,14.2104,1.2332,0.8140,0.13932745,3.68222541,0.02886069,0.22272488
10.7667278,16.5326,14.4151,1.2445,0.8294,0.11942353,3.67127825,0.03085108,0.22580999
10.8667278,16.7085,14.5439,1.2558,0.8322,0.08956765,3.72800442,0.02089912,0.23476675
10.9667278,16.8845,14.7086,1.2628,0.8523,0.11942353,3.83349521,0.05274539,0.23934465
11.0667278,17.1237,14.8536,1.2705,0.8621,0.13932745,3.72800442,0.02985588,0.23566243
11.1667278,17.2574,14.9802,1.2741,0.8556,0.08956765,3.88723579,0.04080304,0.24123552
11.2667278,17.4756,15.1526,1.3036,0.8693,0.15923137,3.84245197,0.03085108,0.23506531
11.3667278,17.6304,15.3032,1.2973,0.8767,0.17913529,3.90813491,0.03980784,0.24451967
11.4667278,17.8204,15.4658,1.3128,0.9014,0.10947157,3.91709168,0.02388471,0.24063841
11.5667278,18.0104,15.6333,1.3360,0.8950,0.07961568,3.95888991,0.04677421,0.24879901
11.6667278,18.2356,15.7430,1.3367,0.8996,0.13932745,3.96287069,0.02985588,0.2380509
11.7667278,18.3271,15.8817,1.3508,0.9129,0.14927941,3.94595236,0.02189431,0.25039133
11.8667278,18.5171,16.0555,1.3571,0.9313,0.13932745,3.97879383,0.02886069,0.24551487
11.9667278,18.7071,16.2209,1.3677,0.9366,0.18908725,4.00367373,0.03582706,0.23516483
12.0667278,18.8689,16.3391,1.3803,0.9490,0.15923137,4.01561608,0.02189431,0.2532774
12.1667278,19.0237,16.5481,1.3916,0.9607,0.17913529,4.05840952,0.02985588,0.25904953
12.2667278,19.1574,16.6508,1.3817,0.9621,0.14927941,4.05243834,0.01592314,0.25904953
12.3667278,19.3686,16.8141,1.3930,0.9683,0.12937549,4.06039991,0.02786549,0.25626298
12.4667278,19.5445,17.0111,1.4183,0.9778,0.17913529,4.10020775,0.03582706,0.25078941
12.5667278,19.6852,17.0815,1.4211,0.9835,0.13932745,4.10020775,0.03582706,0.26462263
12.6667278,19.8260,17.2152,1.4352,1.0104,0.13932745,4.13006363,0.0258751,0.26840438
12.7667278,20.0512,17.3419,1.4296,1.0117,0.21894313,4.13006363,0.03383667,0.2467091
12.8667278,20.2060,17.5248,1.4458,1.0313,0.19903921,4.16987147,0.01293755,0.26472215
12.9667278,20.3538,17.6374,1.4641,1.0365,0.18908725,4.16987147,0.02288951,0.25934809
13.0667278,20.4945,17.7430,1.4620,1.0308,0.18908725,4.15991951,0.01791353,0.24551487
13.1667278,20.6634,17.9119,1.4760,1.0499,0.0497598,4.14001559,0.03781745,0.26820534
13.2667278,20.8112,18.0808,1.4964,1.0641,0.15923137,4.21963128,0.01691833,0.26611543
13.3667278,20.9378,18.1723,1.4922,1.0724,0.11942353,4.20967932,0.00696637,0.2583529
13.4667278,21.1489,18.3341,1.5021,1.0846,0.19903921,4.25943912,0.02288951,0.2629308
13.5667278,21.2686,18.4326,1.5218,1.0919,0.10947157,4.17982343,0.02886069,0.26860342
13.6667278,21.4234,18.5734,1.5358,1.1012,0.10947157,4.17982343,0.00696637,0.27328084
13.7667278,21.5430,18.7493,1.5344,1.1082,0.15923137,4.22958324,0.01691833,0.27736114
13.8667278,21.7401,18.8337,1.5534,1.1131,0.13932745,4.18977539,0.01791353,0.28243664
13.9667278,21.8878,19.0378,1.5563,1.1179,0.18908725,4.19972735,0.01194235,0.25964665
14.0667278,21.9864,19.1504,1.5577,1.1341,0.12937549,4.2395352,0.01194235,0.27059381
14.1667278,22.1341,19.2841,1.5767,1.1442,0.07961568,4.26939108,0.01492794,0.26830486
14.2667278,22.2960,19.4389,1.5802,1.1659,0.12937549,4.289295,0.01393274,0.27537075
14.3667278,22.5212,19.5656,1.5865,1.1550,0.08956765,4.26939108,0.01492794,0.28283472
14.4667278,22.6056,19.6712,1.6266,1.1839,0.12937549,4.25943912,0.01393274,0.27178804
14.5667278,22.7745,19.8400,1.6189,1.1862,0.12937549,4.27934304,0.02886069,0.27855538
14.6667278,22.9012,19.9526,1.6344,1.1905,0.18908725,4.31915088,0.03284147,0.28641742
14.7667278,23.0278,20.1567,1.6505,1.2052,0.10947157,4.38881461,0.02786549,0.27756018
14.8667278,23.2108,20.2763,1.6569,1.2104,0.26870294,4.35895872,0.01094716,0.28203856
14.9667278,23.3586,20.3819,1.6653,1.2123,0.23884705,4.46843029,0.01492794,0.27945105
15.0667278,23.5556,20.5438,1.6822,1.2337,0.19903921,4.37886264,0.02089912,0.27109141
15.1667278,23.6893,20.6563,1.6688,1.2477,0.16918333,4.35895872,0.00199039,0.27119093
15.2667278,23.8653,20.8252,1.6963,1.2565,0.17913529,4.49828617,0.01492794,0.28651694
15.3667278,23.9779,20.9308,1.7139,1.2694,0.17913529,4.40871853,0.01194235,0.30224104
15.4667278,24.1186,21.0575,1.7083,1.2626,0.19903921,4.42862245,0.00796157,0.28591983
15.5667278,24.2523,21.2052,1.7308,1.2699,0.08956765,4.39876657,0.01393274,0.29547371
15.6667278,24.3860,21.2475,1.7343,1.2952,0.19903921,4.45847833,0.00696637,0.29348332
15.7667278,24.4845,21.4093,1.7392,1.3119,0.15923137,4.40871853,0.02388471,0.29985257
15.8667278,24.5479,21.5078,1.7568,1.3066,0.08956765,4.48833421,0.00696637,0.29139341
15.9667278,24.7519,21.6627,1.7730,1.3109,0.01990392,4.46843029,0.00796157,0.31119781
16.0667278,24.7730,21.8034,1.7793,1.3294,0.00995196,4.50823813,0.01293755,0.28293424
16.1667278,24.9490,21.8738,1.7969,1.3378,0.03980784,4.50823813,0.00199039,0.30890886
16.2667278,25.1038,22.0427,1.8018,1.3416,0,4.5679499,0.02288951,0.29159244
16.3667278,25.1953,22.1271,1.7934,1.3522,0.10947157,4.5679499,0.0009952,0.30054921
16.4667278,25.3008,22.2045,1.8033,1.3719,0.01990392,4.53809401,0.00895676,0.30851078
16.5667278,25.4697,22.3593,1.8180,1.3740,0.03980784,4.53809401,0.01194235,0.31746754
16.6667278,25.5823,22.3945,1.8398,1.3881,0,4.58785382,0.01492794,0.30950597
16.7667278,25.6597,22.5845,1.8321,1.3916,0.06966372,4.49828617,0.00199039,0.31249156
16.8667278,25.8497,22.6478,1.8574,1.3993,0.03980784,4.52814205,0.00796157,0.31945793
16.9667278,25.8849,22.7464,1.8638,1.4078,0.0497598,4.58785382,0.01691833,0.30950597
17.0667278,26.0679,22.8590,1.8673,1.4014,0.00995196,4.5679499,0.00199039,0.30652039
17.1667278,26.1171,22.9645,1.8870,1.4261,0.07961568,4.57790186,0.00796157,0.31149637
17.2667278,26.2227,23.0208,1.8863,1.4289,0.12937549,4.59780578,0.01890873,0.30751558
17.3667278,26.3071,23.2038,1.9025,1.4415,0.02985588,4.57790186,0.01592314,0.31547715
17.4667278,26.4127,23.2108,1.9032,1.4528,0.15923137,4.58785382,0.00497598,0.29358284
17.5667278,26.5253,23.3093,1.9173,1.4697,0.21894313,4.54804597,0.01691833,0.32542911
17.6667278,26.6801,23.4501,1.9320,1.4563,0.11942353,4.5679499,0.03184627,0.31846274
17.7667278,26.7927,23.5486,1.9447,1.4718,0.15923137,4.5679499,0.02388471,0.32045313
17.8667278,26.8631,23.6190,1.9327,1.4781,0.17913529,4.58785382,0.01890873,0.3274195
17.9667278,26.9475,23.6964,1.9567,1.4788,0.23884705,4.57790186,0.00298559,0.30652039
18.0667278,26.9968,23.8864,1.9602,1.5028,0.26870294,4.64756558,0.01791353,0.3284147
